,co2,longitude,latitude,time
0,391.77112,-101.73338,78.91583,2009-04-21 00:53:22.165371
1,392.66345,-160.661,65.835594,2009-04-21 00:58:43.240193
2,395.6995,-163.91902,66.427635,2009-04-21 00:58:47.700600
3,390.52,-165.13968,65.14818,2009-04-21 00:59:09.995952
4,398.0131,-160.37296,62.660465,2009-04-21 00:59:23.374999
5,389.74332,174.83963,17.34441,2009-04-21 01:12:28.224493
6,388.12466,173.68942,11.920198,2009-04-21 01:13:57.411779
7,386.9016,171.96419,10.802558,2009-04-21 01:14:33.086178
8,387.65427,171.70627,9.422792,2009-04-21 01:14:37.545377
9,389.73645,173.12093,9.204761,2009-04-21 01:14:42.005260
10,387.9066,171.40817,8.088132,2009-04-21 01:15:17.680062
11,390.37997,174.35612,68.95428,2009-04-21 02:36:13.888403
12,397.1834,165.53088,68.575264,2009-04-21 02:36:27.266403
13,399.3108,164.50813,67.284096,2009-04-21 02:37:07.401007
14,388.93976,150.29494,17.349096,2009-04-21 02:50:39.002680
15,388.56772,148.27293,14.850434,2009-04-21 02:51:19.137365
16,388.3314,149.71626,14.634392,2009-04-21 02:51:23.596564
17,387.2003,147.71657,12.136275,2009-04-21 02:52:03.730283
18,387.18323,149.14397,11.920358,2009-04-21 02:52:08.189000
19,387.08743,147.41888,10.803132,2009-04-21 02:52:43.864888
20,383.37036,145.443,-5.728206,2009-04-21 02:57:06.966820
21,383.4882,142.53383,-12.2770405,2009-04-21 02:58:45.072866
22,382.39362,141.90588,-14.982091,2009-04-21 02:59:29.666790
23,382.22867,144.5191,-16.864674,2009-04-21 03:00:00.881226
24,381.2422,141.56627,-16.310148,2009-04-21 03:00:09.800349
25,384.66196,142.73279,-17.933104,2009-04-21 03:00:18.718345
26,385.16437,142.41306,-19.278578,2009-04-21 03:00:49.935074
27,384.41733,140.90993,-19.011295,2009-04-21 03:00:54.393790
28,383.5553,140.59245,-20.385017,2009-04-21 03:00:58.853191
29,383.71094,142.09158,-20.635534,2009-04-21 03:01:03.311907
30,385.04785,143.60106,-20.927258,2009-04-21 03:01:07.772273
31,384.36237,145.10915,-21.244144,2009-04-21 03:01:12.230990
32,383.09622,146.35104,-22.97417,2009-04-21 03:01:21.149066
33,384.01633,144.8122,-22.607944,2009-04-21 03:01:25.609473
34,384.95294,143.28761,-22.27994,2009-04-21 03:01:30.068189
35,383.7769,141.7617,-21.982529,2009-04-21 03:01:34.527550
36,384.45117,140.2313,-21.708055,2009-04-21 03:01:38.986668
37,383.5292,139.90117,-23.080927,2009-04-21 03:01:43.446672
38,384.2016,141.42947,-23.33943,2009-04-21 03:01:47.905791
39,385.42566,143.66884,-35.09265,2009-04-21 03:04:59.658563
40,383.47244,143.36824,-36.4835,2009-04-21 03:05:04.117320
41,385.5593,143.02956,-37.78768,2009-04-21 03:05:44.252085
42,390.65866,157.18156,70.71591,2009-04-21 04:13:35.634508
43,388.1607,144.61215,72.4998,2009-04-21 04:13:49.013514
44,396.13458,147.47546,70.76316,2009-04-21 04:13:57.931993
45,394.93124,151.45949,70.202286,2009-04-21 04:14:02.390790
46,394.78235,155.15329,69.5161,2009-04-21 04:14:06.851196
47,393.55682,156.67953,67.54492,2009-04-21 04:14:15.769233
48,399.09244,151.71631,67.07522,2009-04-21 04:14:51.444598
49,398.8473,154.87451,66.34621,2009-04-21 04:14:55.902791
50,400.91733,153.33621,65.134,2009-04-21 04:15:00.362674
51,397.17932,150.2448,65.836716,2009-04-21 04:15:04.821874
52,398.2924,139.96013,67.28783,2009-04-21 04:15:18.199874
53,376.56134,150.5361,62.664158,2009-04-21 04:15:44.956599
54,399.34018,138.24947,64.65409,2009-04-21 04:16:02.793758
